Track Name,Artist Name,Acousticness,Danceability,Energy,Instrumentalness,Speechiness,Liveness,Loudness,Tempo,Valence,Popularity,Release Date,Genres
Three Portraits,Yppah,0.00236,0.482,0.855,0.517,0.0275,0.223,-4.797,92.97,0.245,32,4/2/2012,"['ambient idm', 'downtempo fusion', 'substep']"
Threshold,Slayer,0.0018,0.434,0.948,5.99E-05,0.236,0.146,-4.294,95.534,0.317,41,9/11/2001,"['alternative metal', 'death metal', 'groove metal', 'hard rock', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']"
Totem,RYAT,0.994,0.192,0.0896,0.975,0.0373,0.128,-20.653,109.608,0.0399,0,6/4/2012,"['glitch pop', 'shimmer pop']"
Waiting Room,Terry Malts,0.00783,0.318,0.94,0.246,0.0712,0.0851,-5.602,158.018,0.327,6,2/21/2012,"['garage pop', 'la indie']"
War Zone,Slayer,1.30E-05,0.317,0.995,0.0351,0.191,0.0908,-2.665,98.027,0.111,33,9/11/2001,"['alternative metal', 'death metal', 'groove metal', 'hard rock', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']"
Warsaw,Sharon Van Etten,0.00619,0.385,0.651,0.000106,0.032,0.584,-6.903,154.224,0.319,29,2/7/2012,"['art pop', 'chamber pop', 'indie rock', 'melancholia', 'new jersey indie', 'singer-songwriter']"
We Are Fine,Sharon Van Etten,0.633,0.425,0.322,0.00643,0.0291,0.0989,-8.677,107.83,0.0959,39,2/7/2012,"['art pop', 'chamber pop', 'indie rock', 'melancholia', 'new jersey indie', 'singer-songwriter']"
We Drift Like Worried Fire,Godspeed You! Black Emperor,0.0953,0.204,0.593,0.836,0.0375,0.0854,-7.278,108.769,0.0479,30,10/15/2012,"['canadian post-rock', 'double drumming', 'experimental rock', 'instrumental post-rock', 'noise pop', 'post-rock']"
What Was It?,Terry Malts,0.00035,0.484,0.996,0.713,0.0592,0.0867,-3.722,122.16,0.536,3,2/21/2012,"['garage pop', 'la indie']"
Where Is The Weekend?,Terry Malts,1.38E-05,0.354,0.938,0.593,0.109,0.199,-5.219,130.397,0.336,5,2/21/2012,"['garage pop', 'la indie']"
Windcurve,RYAT,0.868,0.331,0.415,0.928,0.0946,0.0961,-16.282,112.696,0.345,1,6/4/2012,"['glitch pop', 'shimmer pop']"
Work,LV,0.0622,0.717,0.749,0.764,0.0529,0.113,-12.067,144.928,0.0718,3,7/1/2014,['uk bass']
Zulu Compurar,LV,0.337,0.671,0.485,1.01E-05,0.44,0.0765,-10.04,106.597,0.498,1,7/1/2014,['uk bass']
here.now.here,Nedry,0.323,0.582,0.547,0.698,0.0341,0.151,-9.589,139.99,0.164,0,12/17/2012,[]
10 Mile Stereo,Beach House,0.0523,0.239,0.74,0.00117,0.048,0.419,-4.385,193.039,0.309,46,1/26/2010,"['baltimore indie', 'dream pop', 'dreamo', 'indie rock', 'indietronica', 'modern dream pop', 'pov: indie']"
Better Times,Beach House,0.715,0.641,0.469,0.00505,0.0256,0.131,-7.469,92.941,0.3,39,1/26/2010,"['baltimore indie', 'dream pop', 'dreamo', 'indie rock', 'indietronica', 'modern dream pop', 'pov: indie']"
